Date,Total,Title
2014-03-13,4,4 Guinness
2014-03-17,1,1 Guinness
2014-03-05,1,1 Guinness
2014-03-04,4,4 Guinness
2014-02-20,4,4 Guinness
2014-02-13,4,4 Guinness
2014-02-27,4,4 Guinness
2014-02-25,3,3 Guinness
2014-02-10,1,1 Guinness
2014-02-04,3,3 Guinness
2014-01-30,4,4 Guinness
2014-01-29,2,2 Guinness
2014-01-19,4,4 Guinness
2014-01-14,2,2 Guinness
2014-09-04,5,4 Guinness: 1 shot
2014-09-20,14,5 Guinness: 8 md: 1 shot
