Lat,Long,Date
32.8994151,-79.9833586,4/8/2015 0:00
32.8994137,-79.9833438,4/8/2015 1:00
32.8993353,-79.9833132,4/9/2015 0:00
32.8993049,-79.9833186,4/10/2015 0:00
32.8993049,-79.9833186,4/10/2015 1:00
32.79767603,-80.00751067,4/11/2015 0:00
32.79746349,-80.00740734,4/12/2015 0:00
32.8143976,-80.0164604,4/12/2015 1:00
32.8992865,-79.983282,4/13/2015 0:00
32.79746847,-80.00758838,4/14/2015 0:00
32.79746721,-80.00756421,4/14/2015 1:00
32.8993054,-79.9832809,4/14/2015 2:00
32.79743961,-80.00748095,4/14/2015 3:00
32.7975029,-80.0073994,4/15/2015 0:00
32.8993282,-79.9833037,4/15/2015 1:00
32.8993767,-79.9833305,4/15/2015 2:00
32.7975168,-80.0073867,4/15/2015 3:00
32.79751021,-80.0076033,4/17/2015 0:00
32.8993059,-79.9832904,4/17/2015 1:00
32.7874271,-80.0153957,4/18/2015 0:00
32.7974662,-80.00741439,4/19/2015 0:00
32.8993452,-79.9833125,4/20/2015 0:00
32.899366,-79.9833146,4/20/2015 1:00
32.8992678,-79.9832245,4/21/2015 0:00
32.8992733,-79.9832647,4/21/2015 1:00
32.8993107,-79.9831361,4/23/2015 0:00
32.8993931,-79.9833061,4/23/2015 1:00
32.814413,-80.0164714,4/24/2015 0:00
32.79751743,-80.00749179,4/25/2015 0:00
32.79737097,-80.00739297,4/26/2015 0:00
32.8993961,-79.9833467,4/27/2015 0:00
32.8993803,-79.9833704,4/28/2015 0:00
32.8992946,-79.9831861,4/29/2015 0:00
32.8992912,-79.9831488,4/29/2015 1:00
32.8993776,-79.9833237,5/1/2015 0:00
32.79754465,-80.00754669,5/3/2015 0:00
32.79742599,-80.00745558,5/3/2015 1:00
32.8993246,-79.9832152,5/4/2015 0:00
32.8992821,-79.9832511,5/4/2015 1:00
32.79743695,-80.00760846,5/6/2015 0:00
32.79731018,-80.00737802,5/7/2015 0:00
32.79737496,-80.00736785,5/8/2015 0:00
32.7974898,-80.0074159,5/9/2015 0:00
32.8992699,-79.9832478,5/9/2015 1:00
32.7975017,-80.0074494,5/11/2015 0:00
32.8993552,-79.983318,5/13/2015 0:00
32.8993716,-79.9833563,5/14/2015 0:00
32.79750847,-80.00738324,5/14/2015 1:00
32.79752318,-80.00747684,5/14/2015 2:00
32.79754526,-80.00740847,5/16/2015 0:00
32.8993921,-79.9833637,5/18/2015 0:00
32.899402,-79.9833661,5/19/2015 0:00
32.899391,-79.9833448,5/21/2015 0:00
45.1107703,-93.265225,5/23/2015 0:00
44.9774532,-93.2769192,5/23/2015 1:00
44.8547789,-93.240017,5/23/2015 2:00
44.9774572,-93.2769263,5/24/2015 0:00
44.9774562,-93.2769094,5/24/2015 1:00
